Capture IP Address Packets

03:26:30.950798 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 745664:745820, ack 361, win 4063, length 156
03:26:31.149793 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1200408:1200564, ack 613, win 4063, length 156
03:26:31.149821 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1200564:1200720, ack 613, win 4063, length 156
03:26:31.149845 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1200720:1200876, ack 613, win 4063, length 156
03:26:31.149873 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1200876:1201032, ack 613, win 4063, length 156
03:26:31.149902 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1201032:1201188, ack 613, win 4063, length 156
03:26:31.149930 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1201188:1201344, ack 613, win 4063, length 156
03:26:31.149958 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1201344:1201500, ack 613, win 4063, length 156
03:26:31.149983 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1201500:1201656, ack 613, win 4063, length 156
03:26:31.150010 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1201656:1201812, ack 613, win 4063, length 156
03:26:31.150046 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1201812:1201968, ack 613, win 4063, length 156
03:26:31.150069 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1201968:1202124, ack 613, win 4063, length 156
03:26:31.150094 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1202124:1202280, ack 613, win 4063, length 156
03:26:31.150140 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1202280:1202436, ack 613, win 4063, length 156
03:26:31.150167 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1202436:1202592, ack 613, win 4063, length 156
03:26:31.150210 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1202592:1202748, ack 613, win 4063, length 156
03:26:31.150247 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1202748:1202904, ack 613, win 4063, length 156
03:26:31.150277 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1202904:1203060, ack 613, win 4063, length 156
03:26:31.150302 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1203060:1203216, ack 613, win 4063, length 156
03:26:31.150327 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1203216:1203372, ack 613, win 4063, length 156
03:26:31.150358 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1203372:1203528, ack 613, win 4063, length 156
03:26:31.150383 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1203528:1203684, ack 613, win 4063, length 156
03:26:31.150407 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1203684:1203840, ack 613, win 4063, length 156
03:26:31.150451 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1203840:1203996, ack 613, win 4063, length 156
03:26:31.150473 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [.], ack 1190060, win 2064, length 0
03:26:31.150473 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [.], ack 1194584, win 2064, length 0
03:26:31.150566 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1203996:1204360, ack 613, win 4063, length 364
03:26:31.150594 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1204360:1204516, ack 613, win 4063, length 156
03:26:31.150627 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1204516:1204672, ack 613, win 4063, length 156
03:26:31.150655 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1204672:1204828, ack 613, win 4063, length 156
03:26:31.150681 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1204828:1204984, ack 613, win 4063, length 156
03:26:31.150708 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1204984:1205140, ack 613, win 4063, length 156
03:26:31.150734 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1205140:1205296, ack 613, win 4063, length 156
03:26:31.150761 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1205296:1205452, ack 613, win 4063, length 156
03:26:31.150787 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1205452:1205608, ack 613, win 4063, length 156
03:26:31.150818 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1205608:1205764, ack 613, win 4063, length 156
03:26:31.150846 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1205764:1205920, ack 613, win 4063, length 156
03:26:31.150873 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1205920:1206076, ack 613, win 4063, length 156
03:26:31.150900 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1206076:1206232, ack 613, win 4063, length 156
03:26:31.150927 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1206232:1206388, ack 613, win 4063, length 156
03:26:31.150953 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1206388:1206544, ack 613, win 4063, length 156
03:26:31.150980 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1206544:1206700, ack 613, win 4063, length 156
03:26:31.151012 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1206700:1206856, ack 613, win 4063, length 156
03:26:31.151048 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1206856:1207012, ack 613, win 4063, length 156
03:26:31.151074 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1207012:1207168, ack 613, win 4063, length 156
03:26:31.151099 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1207168:1207324, ack 613, win 4063, length 156
03:26:31.151124 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1207324:1207480, ack 613, win 4063, length 156
03:26:31.151148 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1207480:1207636, ack 613, win 4063, length 156
03:26:31.151172 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1207636:1207792, ack 613, win 4063, length 156
03:26:31.151218 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1207792:1207948, ack 613, win 4063, length 156
03:26:31.151244 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1207948:1208104, ack 613, win 4063, length 156
03:26:31.151269 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1208104:1208260, ack 613, win 4063, length 156
03:26:31.151294 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1208260:1208416, ack 613, win 4063, length 156
03:26:31.151320 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1208416:1208572, ack 613, win 4063, length 156
03:26:31.151347 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1208572:1208728, ack 613, win 4063, length 156
03:26:31.151373 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1208728:1208884, ack 613, win 4063, length 156
03:26:31.151405 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1208884:1209040, ack 613, win 4063, length 156
03:26:31.151431 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1209040:1209196, ack 613, win 4063, length 156
03:26:31.151459 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1209196:1209352, ack 613, win 4063, length 156
03:26:31.151485 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1209352:1209508, ack 613, win 4063, length 156
03:26:31.151511 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1209508:1209664, ack 613, win 4063, length 156
03:26:31.151539 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1209664:1209820, ack 613, win 4063, length 156
03:26:31.151568 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1209820:1209976, ack 613, win 4063, length 156
03:26:31.151600 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1209976:1210132, ack 613, win 4063, length 156
03:26:31.151628 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1210132:1210288, ack 613, win 4063, length 156
03:26:31.151653 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1210288:1210444, ack 613, win 4063, length 156
03:26:31.151680 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1210444:1210600, ack 613, win 4063, length 156
03:26:31.151707 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1210600:1210756, ack 613, win 4063, length 156
03:26:31.151732 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1210756:1210912, ack 613, win 4063, length 156
03:26:31.151758 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1210912:1211068, ack 613, win 4063, length 156
03:26:31.151782 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1211068:1211224, ack 613, win 4063, length 156
03:26:31.151814 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1211224:1211380, ack 613, win 4063, length 156
03:26:31.151840 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1211380:1211536, ack 613, win 4063, length 156
03:26:31.151867 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1211536:1211692, ack 613, win 4063, length 156
03:26:31.151893 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1211692:1211848, ack 613, win 4063, length 156
03:26:31.151917 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1211848:1212004, ack 613, win 4063, length 156
03:26:31.151943 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1212004:1212160, ack 613, win 4063, length 156
03:26:31.151977 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1212160:1212316, ack 613, win 4063, length 156
03:26:31.152012 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1212316:1212472, ack 613, win 4063, length 156
03:26:31.152041 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1212472:1212628, ack 613, win 4063, length 156
03:26:31.152068 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1212628:1212784, ack 613, win 4063, length 156
03:26:31.152094 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1212784:1212940, ack 613, win 4063, length 156
03:26:31.152121 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1212940:1213096, ack 613, win 4063, length 156
03:26:31.152145 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1213096:1213252, ack 613, win 4063, length 156
03:26:31.152172 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1213252:1213408, ack 613, win 4063, length 156
03:26:31.152201 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1213408:1213564, ack 613, win 4063, length 156
03:26:31.152229 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1213564:1213720, ack 613, win 4063, length 156
03:26:31.152253 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1213720:1213876, ack 613, win 4063, length 156
03:26:31.152279 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1213876:1214032, ack 613, win 4063, length 156
03:26:31.152306 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1214032:1214188, ack 613, win 4063, length 156
03:26:31.152345 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1214188:1214344, ack 613, win 4063, length 156
03:26:31.152373 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1214344:1214500, ack 613, win 4063, length 156
03:26:31.152398 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1214500:1214656, ack 613, win 4063, length 156
03:26:31.152431 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1214656:1214812, ack 613, win 4063, length 156
03:26:31.152458 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1214812:1214968, ack 613, win 4063, length 156
03:26:31.152483 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1214968:1215124, ack 613, win 4063, length 156
03:26:31.152509 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1215124:1215280, ack 613, win 4063, length 156
03:26:31.152534 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1215280:1215436, ack 613, win 4063, length 156
03:26:31.152560 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1215436:1215592, ack 613, win 4063, length 156
03:26:31.152585 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1215592:1215748, ack 613, win 4063, length 156
03:26:31.152615 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1215748:1215904, ack 613, win 4063, length 156
03:26:31.152643 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1215904:1216060, ack 613, win 4063, length 156
03:26:31.152668 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1216060:1216216, ack 613, win 4063, length 156
03:26:31.152694 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1216216:1216372, ack 613, win 4063, length 156
03:26:31.152719 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1216372:1216528, ack 613, win 4063, length 156
03:26:31.152745 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1216528:1216684, ack 613, win 4063, length 156
03:26:31.152770 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1216684:1216840, ack 613, win 4063, length 156
03:26:31.152796 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1216840:1216996, ack 613, win 4063, length 156
03:26:31.152827 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1216996:1217152, ack 613, win 4063, length 156
03:26:31.152853 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1217152:1217308, ack 613, win 4063, length 156
03:26:31.152880 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1217308:1217464, ack 613, win 4063, length 156
03:26:31.152920 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1217464:1217620, ack 613, win 4063, length 156
03:26:31.152945 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1217620:1217776, ack 613, win 4063, length 156
03:26:31.152974 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1217776:1217932, ack 613, win 4063, length 156
03:26:31.153001 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1217932:1218088, ack 613, win 4063, length 156
03:26:31.153027 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1218088:1218244, ack 613, win 4063, length 156
03:26:31.153052 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1218244:1218400, ack 613, win 4063, length 156
03:26:31.153080 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1218400:1218556, ack 613, win 4063, length 156
03:26:31.153107 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1218556:1218712, ack 613, win 4063, length 156
03:26:31.153132 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1218712:1218868, ack 613, win 4063, length 156
03:26:31.153165 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1218868:1219024, ack 613, win 4063, length 156
03:26:31.153192 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1219024:1219180, ack 613, win 4063, length 156
03:26:31.153217 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1219180:1219336, ack 613, win 4063, length 156
03:26:31.153243 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1219336:1219492, ack 613, win 4063, length 156
03:26:31.153269 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1219492:1219648, ack 613, win 4063, length 156
03:26:31.153294 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1219648:1219804, ack 613, win 4063, length 156
03:26:31.153326 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1219804:1219960, ack 613, win 4063, length 156
03:26:31.153352 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1219960:1220116, ack 613, win 4063, length 156
03:26:31.153378 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1220116:1220272, ack 613, win 4063, length 156
03:26:31.153403 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1220272:1220428, ack 613, win 4063, length 156
03:26:31.153430 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1220428:1220584, ack 613, win 4063, length 156
03:26:31.153457 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1220584:1220740, ack 613, win 4063, length 156
03:26:31.153484 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1220740:1220896, ack 613, win 4063, length 156
03:26:31.153509 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1220896:1221052, ack 613, win 4063, length 156
03:26:31.153541 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1221052:1221208, ack 613, win 4063, length 156
03:26:31.153568 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1221208:1221364, ack 613, win 4063, length 156
03:26:31.153593 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1221364:1221520, ack 613, win 4063, length 156
03:26:31.153621 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1221520:1221676, ack 613, win 4063, length 156
03:26:31.153646 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1221676:1221832, ack 613, win 4063, length 156
03:26:31.153672 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1221832:1221988, ack 613, win 4063, length 156
03:26:31.153704 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1221988:1222144, ack 613, win 4063, length 156
03:26:31.153730 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1222144:1222300, ack 613, win 4063, length 156
03:26:31.153756 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1222300:1222456, ack 613, win 4063, length 156
03:26:31.153781 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1222456:1222612, ack 613, win 4063, length 156
03:26:31.153807 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1222612:1222768, ack 613, win 4063, length 156
03:26:31.153833 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1222768:1222924, ack 613, win 4063, length 156
03:26:31.153858 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1222924:1223080, ack 613, win 4063, length 156
03:26:31.153884 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1223080:1223236, ack 613, win 4063, length 156
03:26:31.153915 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1223236:1223392, ack 613, win 4063, length 156
03:26:31.153944 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1223392:1223548, ack 613, win 4063, length 156
03:26:31.153969 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1223548:1223704, ack 613, win 4063, length 156
03:26:31.153995 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1223704:1223860, ack 613, win 4063, length 156
03:26:31.154021 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1223860:1224016, ack 613, win 4063, length 156
03:26:31.154046 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1224016:1224172, ack 613, win 4063, length 156
03:26:31.154072 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1224172:1224328, ack 613, win 4063, length 156
03:26:31.154101 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1224328:1224484, ack 613, win 4063, length 156
03:26:31.154130 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1224484:1224640, ack 613, win 4063, length 156
03:26:31.154156 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1224640:1224796, ack 613, win 4063, length 156
03:26:31.154220 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1224796:1224952, ack 613, win 4063, length 156
03:26:31.154254 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1224952:1225108, ack 613, win 4063, length 156
03:26:31.154281 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1225108:1225264, ack 613, win 4063, length 156
03:26:31.154313 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1225264:1225420, ack 613, win 4063, length 156
03:26:31.154338 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1225420:1225576, ack 613, win 4063, length 156
03:26:31.154364 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1225576:1225732, ack 613, win 4063, length 156
03:26:31.154391 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1225732:1225888, ack 613, win 4063, length 156
03:26:31.154417 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1225888:1226044, ack 613, win 4063, length 156
03:26:31.154442 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1226044:1226200, ack 613, win 4063, length 156
03:26:31.154454 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [.], ack 1199940, win 2064, length 0
03:26:31.154454 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [.], ack 1203060, win 2064, length 0
03:26:31.154506 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1226200:1226564, ack 613, win 4063, length 364
03:26:31.154536 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1226564:1226720, ack 613, win 4063, length 156
03:26:31.154562 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1226720:1226876, ack 613, win 4063, length 156
03:26:31.154587 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1226876:1227032, ack 613, win 4063, length 156
03:26:31.154611 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1227032:1227188, ack 613, win 4063, length 156
03:26:31.154638 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1227188:1227344, ack 613, win 4063, length 156
03:26:31.154662 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1227344:1227500, ack 613, win 4063, length 156
03:26:31.154689 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1227500:1227656, ack 613, win 4063, length 156
03:26:31.154715 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1227656:1227812, ack 613, win 4063, length 156
03:26:31.154744 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1227812:1227968, ack 613, win 4063, length 156
03:26:31.154771 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1227968:1228124, ack 613, win 4063, length 156
